State Code,County Code,Parameter Name,Units of Measure,Arithmetic Mean
18,51,SO2 max 5-min avg,Parts per billion,1.774504
18,55,Ozone,Parts per million,0.03871
18,55,Ozone,Parts per million,0.035903
18,55,Ozone,Parts per million,0.035903
18,55,Ozone,Parts per million,0.035133
18,55,Wind Speed - Scalar,Knots,6.572292
18,55,Wind Speed - Resultant,Knots,6.353125
18,55,Wind Direction - Resultant,Degrees Compass,206.174306
18,55,Peak Wind Gust,Knots,11.379444
18,55,Std Dev Hz Wind Direction,Degrees Compass,15.363194
18,55,Outdoor Temperature,Degrees Fahrenheit,35.299514
18,55,Relative Humidity ,Percent relative humidity,77.76581
18,55,Sample Flow Rate- CV,Percent,0.062963
18,55,Sample Volume,Cubic meter,24
18,55,Ambient Min Temperature,Degrees Centigrade,0.011111
18,55,Ambient Max Temperature,Degrees Centigrade,10.151852
18,55,Average Ambient Temperature,Degrees Centigrade,5.1
18,55,Sample Min Baro Pressure,Millimeters (mercury),745.666667
18,55,Sample Max Baro Pressure,Millimeters (mercury),753.407407
18,55,Average Ambient Pressure,Millimeters (mercury),749.703704
18,55,Elapsed Sample Time,Minutes,1439.703704
18,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.048148
18,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.048148
18,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.048148
18,55,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.048148
18,57,Ozone,Parts per million,0.03871
18,57,Ozone,Parts per million,0.035452
18,57,Ozone,Parts per million,0.035452
18,57,Ozone,Parts per million,0.034967
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.580461
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.531667
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.531667
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.531667
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.531667
18,57,Sample Flow Rate- CV,Percent,0.1
18,57,Sample Volume,Cubic meter,24
18,57,Ambient Min Temperature,Degrees Centigrade,-1.516129
18,57,Ambient Max Temperature,Degrees Centigrade,7.816129
18,57,Average Ambient Temperature,Degrees Centigrade,2.983871
18,57,Sample Min Baro Pressure,Millimeters (mercury),738.83871
18,57,Sample Max Baro Pressure,Millimeters (mercury),746.83871
18,57,Average Ambient Pressure,Millimeters (mercury),743.064516
18,57,Elapsed Sample Time,Minutes,1439.548387
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.848387
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.848387
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.848387
18,57,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.848387
18,63,Ozone,Parts per million,0.037484
18,63,Ozone,Parts per million,0.034097
18,63,Ozone,Parts per million,0.034097
18,63,Ozone,Parts per million,0.033267
18,65,Wind Speed - Scalar,Knots,7.11446
18,65,Wind Speed - Resultant,Knots,6.780441
18,65,Wind Direction - Resultant,Degrees Compass,199.913242
18,65,Peak Wind Gust,Knots,16.35723
18,65,Std Dev Hz Wind Direction,Degrees Compass,18.04414
18,65,Vert Wind Direction,Degrees Compass,0.085997
18,65,Outdoor Temperature,Degrees Fahrenheit,32.895833
18,65,Dew Point,Degrees Fahrenheit,26.102719
18,65,Relative Humidity ,Percent relative humidity,79.93214
18,65,Barometric pressure,Millibars,982.070833
18,65,Sample Flow Rate- CV,Percent,0.013333
18,65,Sample Volume,Cubic meter,24
18,65,Ambient Min Temperature,Degrees Centigrade,-2.546667
18,65,Ambient Max Temperature,Degrees Centigrade,6.423333
18,65,Average Ambient Temperature,Degrees Centigrade,2.01
18,65,Sample Min Baro Pressure,Millimeters (mercury),732.8
18,65,Sample Max Baro Pressure,Millimeters (mercury),740.166667
18,65,Average Ambient Pressure,Millimeters (mercury),736.666667
18,65,Elapsed Sample Time,Minutes,1439.766667
18,65,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,65,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,65,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,65,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),7.646667
18,67,Ozone,Parts per million,0.037226
18,67,Ozone,Parts per million,0.034097
18,67,Ozone,Parts per million,0.034097
18,67,Ozone,Parts per million,0.033833
18,67,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.262676
18,67,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.206667
18,67,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.206667
18,67,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.206667
18,67,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.206667
18,89,Sample Flow Rate- CV,Percent,0.064286
18,89,Sample Volume,Cubic meter,24
18,89,Ambient Min Temperature,Degrees Centigrade,-3.628571
18,89,Ambient Max Temperature,Degrees Centigrade,4.685714
18,89,Average Ambient Temperature,Degrees Centigrade,0.7
18,89,Sample Min Baro Pressure,Millimeters (mercury),742.142857
18,89,Sample Max Baro Pressure,Millimeters (mercury),751.607143
18,89,Average Ambient Pressure,Millimeters (mercury),747.035714
18,89,Elapsed Sample Time,Minutes,1439.535714
18,89,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15.266667
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.332143
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.332143
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.332143
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.332143
18,89,Sulfur dioxide,Parts per billion,4.925
18,89,Sulfur dioxide,Parts per billion,1.139762
18,89,Sulfur dioxide,Parts per billion,1.148333
18,89,Sulfur dioxide,Parts per billion,1.09636
18,89,SO2 max 5-min avg,Parts per billion,1.938112
18,89,Nitric oxide (NO),Parts per billion,6.569725
18,89,Nitrogen dioxide (NO2),Parts per billion,21.4
18,89,Nitrogen dioxide (NO2),Parts per billion,10.621685
18,89,Oxides of nitrogen (NOx),Parts per billion,17.290075
18,89,Ozone,Parts per million,0.0388
18,89,Ozone,Parts per million,0.036077
18,89,Ozone,Parts per million,0.036077
18,89,Ozone,Parts per million,0.034929
18,89,Wind Speed - Scalar,Knots,6.50793
18,89,Wind Speed - Resultant,Knots,6.222105
18,89,Wind Direction - Resultant,Degrees Compass,199.77614
18,89,Peak Wind Gust,Knots,13.861123
18,89,Std Dev Hz Wind Direction,Degrees Compass,17.787368
18,89,Vert Wind Direction,Degrees Compass,0.915088
18,89,Outdoor Temperature,Degrees Fahrenheit,31.706046
18,89,Dew Point,Degrees Fahrenheit,23.223072
18,89,Relative Humidity ,Percent relative humidity,72.525365
18,89,Solar radiation,Langleys/minute,0.092106
18,89,Ultraviolet radiation,Langleys/minute,0.005386
18,89,Barometric pressure,Millibars,996.24114
18,89,Rain/melt precipitation,Inches (rainfall),0.003065
18,89,Sample Flow Rate- CV,Percent,0.067857
18,89,Sample Volume,Cubic meter,23.989286
18,89,Ambient Min Temperature,Degrees Centigrade,-1.521429
18,89,Ambient Max Temperature,Degrees Centigrade,6.789286
18,89,Average Ambient Temperature,Degrees Centigrade,2.532143
18,89,Sample Min Baro Pressure,Millimeters (mercury),741.392857
18,89,Sample Max Baro Pressure,Millimeters (mercury),749.321429
18,89,Average Ambient Pressure,Millimeters (mercury),745.5
18,89,Elapsed Sample Time,Minutes,1438.964286
18,89,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),15.492867
18,89,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14.983333
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),9.260714
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.713955
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.713955
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.688333
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.688333
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.688333
18,89,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),8.688333
18,89,Sample Flow Rate- CV,Percent,0.496667
18,89,Sample Volume,Cubic meter,23.996667
18,89,Ambient Min Temperature,Degrees Centigrade,-3.24
18,89,Ambient Max Temperature,Degrees Centigrade,5.04
